tconst	averageRating	numVotes
tt0108153	2.8	735
tt12780384	2.7	734
tt0162035	2.7	734
tt14604564	2.6	733
tt0482456	2.6	731
tt7683028	2.0	730
tt12536776	2.8	730
tt2339707	2.9	729
tt3626436	2.8	728
tt13179918	2.4	726
tt1144797	2.9	726
tt0236471	2.2	726
tt1874649	2.6	726
tt0362339	2.1	723
tt1704201	2.2	723
tt14804080	2.8	722
tt1249439	2.5	722
tt1977747	2.0	722
tt1461677	2.8	721
tt3341832	2.6	721
tt1705790	2.2	720
tt2507266	2.0	718
tt12306812	2.8	718
tt2123170	2.4	717
tt1509109	2.3	717
tt0294543	2.2	714
tt0390463	2.6	712
tt2002789	2.6	711
tt6735670	2.2	710
tt1370439	2.5	710
tt1977681	2.5	709
tt0861701	2.4	709
tt1501658	2.8	709
tt1625263	2.6	707
tt2390341	2.3	707
tt2721152	2.8	707
tt0491063	2.8	707
tt0325591	2.8	707
tt2380279	2.4	706
tt0115563	2.8	706
tt8401820	2.7	703
tt5176832	2.3	702
tt0204250	2.2	701
tt0401462	2.2	700
tt2124875	2.7	700
tt1206286	2.0	699
tt3111272	2.4	699
tt0078159	2.9	699
tt0352699	2.8	699
tt1130984	2.9	699
tt1278005	2.3	699
tt0339714	2.3	699
tt3467416	2.9	698
tt5714322	2.5	698
tt1475569	2.6	698
tt0090928	2.9	698
tt10746060	2.7	697
tt0112320	2.9	697
tt0449599	2.5	697
tt0130633	2.7	696
tt0114680	2.1	695
tt4745726	2.3	695
tt7202354	2.7	693
tt0115506	2.6	693
tt0353545	2.1	693
tt1107397	2.5	690
tt0887788	2.3	687
tt7880570	2.1	686
tt6807256	2.6	685
tt0170930	2.7	684
tt2940482	2.9	684
tt0276048	2.1	683
tt1591613	2.7	682
tt1809909	2.7	682
tt0430836	2.7	682
tt0192669	2.7	681
tt0100291	2.8	680
tt3813094	2.5	680
tt3186838	2.6	679
tt30579910	2.5	679
tt0147995	2.7	679
tt0053888	2.7	679
tt4280822	2.7	679
tt1126516	2.9	677
tt2516610	2.7	676
tt8063840	2.1	676
tt7711764	2.6	675
tt5963066	2.7	674
